country,adult_literacy_rate,gross_national_income_per_capita_ppp_international,population_in_thousands_total,population_median_age_years,per_capita_total_expenditure_on_health_ppp_int,per_capita_government_expenditure_on_health_ppp_int,healthy_life_expectancy_hale_at_birth_years_both_sexes,life_expectancy_at_birth_years_both_sexes,population_with_sustainable_access_to_improved_sanitation_total,aid_received_total,income_per_person,population_proportion_over_60,population_proportion_under_15,contraceptive_prevalence,total_expenditure_on_health_as_percentage_of_gross_domestic_product,children_per_woman,infant_mortality_rate,patents_granted
Iran (Islamic Republic of),82.4,9800,70270,24,731,406,58,71,83,1.04,10692,6,28,73.8,7.8,0,0,881
Iraq,74.1,0,28506,19,124,90,50,56,76,2.21,3200,5,41,49.8,3.8,4.26,37,46
Ireland,0,34730,4221,34,3082,2413,70,80,0,0,38058,15,21,0,7.5,1.96,4,14203
Israel,0,23840,6810,29,2263,1477,71,81,0,4.79,23846,13,28,0,7.8,2.75,4,1474
Italy,98.4,28970,58779,42,2623,2022,73,81,0,0,27750,26,14,0,9,1.3800000000000001,4,34899
Jamaica,79.9,7050,2699,25,240,127,65,72,83,392e5,7132,10,31,69,5.1,2.4299999999999997,26,206
Japan,0,32840,127953,43,2514,2067,75,83,100,0,30290,27,14,52,7.9,1.27,3,120018
Jordan,91.1,4820,5729,21,611,257,61,71,85,6.68,4294,5,37,55.8,9.9,3.13,22,58
Kazakhstan,99.5,8700,15314,29,330,214,56,64,97,2.25,8699,10,24,0,3.7,2.3099999999999996,27,1280
Austria,0,36040,8327,40,3545,2729,71,80,100,0,34108,22,16,0,9.9,1.42,4,20390
Kenya,73.6,1470,36553,18,105,51,44,53,42,7.67,1359,4,43,39.3,4.6,4.96,79,100
Kiribati,0,6230,94,0,290,268,54,65,33,278e5,3377,6,32,0,12.7,0,48,2
"Korea, Dem. Rep.",0,0,23708,32,49,42,59,66,59,868e5,1596.6799999999998,14,24,68.6,3.5,1.85,42,27
"Korea, Rep.",0,22990,48050,36,1487,819,68,79,0,-681e5,21342,14,18,0,6.5,1.21,5,45298
Kuwait,93.3,48310,2779,29,535,422,67,78,0,26e5,44947,3,24,0,2.2,2.18,10,107
Kyrgyzstan,98.7,1790,5259,24,127,55,55,66,93,2.68,1728,7,30,0,6.4,0,0,65
Lao People's Democratic Republic,68.7,1740,5759,20,85,18,47,60,48,2.96,1811,5,39,32.2,3.6,0,0,0
Latvia,99.7,14840,2289,40,974,615,63,71,78,1.62,13218,22,14,0,6,1.29,8,1650
Lebanon,0,9600,4055,27,608,285,60,70,98,2.44,10212,10,28,0,8.9,2.21,27,0
Lesotho,82.2,1810,1995,19,143,88,31,42,36,686e5,1415,7,40,37.3,6.7,3.3699999999999997,102,70
